,from,to,Total_Vehicle,Q_11,Q_8,Q_2.5,Total_Arc_cost,Real Quantity,max_quan,loss ratio
0,0,3,5.0,2.0,3.0,0.0,66.0,45,46.0,2.17%
1,0,5,3.0,1.0,2.0,0.0,39.0,25,27.0,7.41%
